datetime,heart_rate,stress_level,body_battery
2025-11-18T08:08:00.000Z,70,,
2025-11-18T08:08:00.000Z,,,
2025-11-18T08:08:00.000Z,,24,15
2025-11-18T08:09:00.000Z,81,,
2025-11-18T08:09:00.000Z,,,
2025-11-18T08:09:00.000Z,,65534,15
2025-11-18T08:10:00.000Z,75,,
2025-11-18T08:10:00.000Z,,,
2025-11-18T08:10:00.000Z,,23,15
2025-11-18T08:11:00.000Z,81,,
2025-11-18T08:11:00.000Z,,,
2025-11-18T08:11:00.000Z,,65534,15
2025-11-18T08:12:00.000Z,80,,
2025-11-18T08:12:00.000Z,,,
2025-11-18T08:12:00.000Z,,,
2025-11-18T08:12:00.000Z,,,
2025-11-18T08:12:00.000Z,,,
2025-11-18T08:12:00.000Z,,31,15
2025-11-18T08:12:00.000Z,,,
2025-11-18T08:12:00.000Z,,,
2025-11-18T08:12:00.000Z,,,
2025-11-18T08:13:00.000Z,75,,
2025-11-18T08:13:00.000Z,,30,15
2025-11-18T08:14:00.000Z,74,,
2025-11-18T08:14:00.000Z,,,
2025-11-18T08:14:00.000Z,,30,15
2025-11-18T08:15:00.000Z,79,,
2025-11-18T08:15:00.000Z,,,
2025-11-18T08:15:00.000Z,,65534,15
2025-11-18T08:16:00.000Z,89,,
2025-11-18T08:16:00.000Z,,,
2025-11-18T08:16:00.000Z,,65534,15
2025-11-18T08:17:00.000Z,85,,
2025-11-18T08:17:00.000Z,,65534,15
2025-11-18T08:18:00.000Z,83,,
2025-11-18T08:18:00.000Z,,65534,15
2025-11-18T08:19:00.000Z,74,,
2025-11-18T08:19:00.000Z,,,
2025-11-18T08:19:00.000Z,,22,15
2025-11-18T08:20:00.000Z,68,,
2025-11-18T08:20:00.000Z,,20,15
2025-11-18T08:21:00.000Z,,25,15
2025-11-18T08:22:00.000Z,67,,
2025-11-18T08:22:00.000Z,,,
2025-11-18T08:22:00.000Z,,20,15
2025-11-18T08:23:00.000Z,,21,15
2025-11-18T08:24:00.000Z,74,,
2025-11-18T08:24:00.000Z,,18,15
2025-11-18T08:25:00.000Z,69,,
2025-11-18T08:25:00.000Z,,15,15
2025-11-18T08:26:00.000Z,67,,
2025-11-18T08:26:00.000Z,,,
2025-11-18T08:26:00.000Z,,12,15
2025-11-18T08:27:00.000Z,62,,
2025-11-18T08:27:00.000Z,,7,15
2025-11-18T08:28:00.000Z,63,,
2025-11-18T08:28:00.000Z,,,
2025-11-18T08:28:00.000Z,,8,15
2025-11-18T08:29:00.000Z,67,,
2025-11-18T08:29:00.000Z,,,
2025-11-18T08:29:00.000Z,,14,15
2025-11-18T08:30:00.000Z,,,
2025-11-18T08:30:00.000Z,,16,15
2025-11-18T08:31:00.000Z,70,,
2025-11-18T08:31:00.000Z,,,
2025-11-18T08:31:00.000Z,,65534,15
2025-11-18T08:32:00.000Z,82,,
2025-11-18T08:32:00.000Z,,36,15
2025-11-18T08:33:00.000Z,79,,
2025-11-18T08:33:00.000Z,,30,15
2025-11-18T08:34:00.000Z,,40,15
2025-11-18T08:35:00.000Z,88,,
2025-11-18T08:35:00.000Z,,42,15
2025-11-18T08:36:00.000Z,74,,
2025-11-18T08:36:00.000Z,,20,15
2025-11-18T08:37:00.000Z,67,,
2025-11-18T08:37:00.000Z,,17,15
2025-11-18T08:38:00.000Z,64,,
2025-11-18T08:38:00.000Z,,9,15
2025-11-18T08:39:00.000Z,66,,
2025-11-18T08:39:00.000Z,,,
2025-11-18T08:39:00.000Z,,18,15
2025-11-18T08:40:00.000Z,65,,
2025-11-18T08:40:00.000Z,,17,15
2025-11-18T08:41:00.000Z,63,,
2025-11-18T08:41:00.000Z,,,
2025-11-18T08:41:00.000Z,,6,15
2025-11-18T08:42:00.000Z,65,,
2025-11-18T08:42:00.000Z,,,
2025-11-18T08:42:00.000Z,,7,15
2025-11-18T08:43:00.000Z,66,,
2025-11-18T08:43:00.000Z,,15,15
2025-11-18T08:44:00.000Z,64,,
2025-11-18T08:44:00.000Z,,9,15
2025-11-18T08:45:00.000Z,65,,
2025-11-18T08:45:00.000Z,,8,15
2025-11-18T08:46:00.000Z,64,,
2025-11-18T08:46:00.000Z,,8,15
2025-11-18T08:47:00.000Z,65,,
2025-11-18T08:47:00.000Z,,,
2025-11-18T08:47:00.000Z,,9,15
2025-11-18T08:48:00.000Z,63,,
2025-11-18T08:48:00.000Z,,,
2025-11-18T08:48:00.000Z,,6,15
2025-11-18T08:49:00.000Z,,3,15
2025-11-18T08:50:00.000Z,64,,
2025-11-18T08:50:00.000Z,,5,16
2025-11-18T08:51:00.000Z,,6,16
2025-11-18T08:52:00.000Z,65,,
2025-11-18T08:52:00.000Z,,10,16
2025-11-18T08:53:00.000Z,66,,
2025-11-18T08:53:00.000Z,,7,16
2025-11-18T08:54:00.000Z,,6,17
2025-11-18T08:55:00.000Z,67,,
2025-11-18T08:55:00.000Z,,10,17
2025-11-18T08:56:00.000Z,,9,17
2025-11-18T08:57:00.000Z,68,,
2025-11-18T08:57:00.000Z,,7,17
2025-11-18T08:58:00.000Z,,11,17
2025-11-18T08:59:00.000Z,,10,17
2025-11-18T09:00:00.000Z,69,,
2025-11-18T09:00:00.000Z,,15,17
2025-11-18T09:01:00.000Z,,9,17
2025-11-18T09:02:00.000Z,,,
2025-11-18T09:02:00.000Z,,11,17
2025-11-18T09:03:00.000Z,,8,17
2025-11-18T09:04:00.000Z,70,,
2025-11-18T09:04:00.000Z,,10,17
2025-11-18T09:05:00.000Z,,10,18
2025-11-18T09:06:00.000Z,69,,
2025-11-18T09:06:00.000Z,,13,18
2025-11-18T09:07:00.000Z,,9,18
2025-11-18T09:08:00.000Z,,9,18
2025-11-18T09:09:00.000Z,,8,18
2025-11-18T09:10:00.000Z,68,,
2025-11-18T09:10:00.000Z,,8,19
2025-11-18T09:11:00.000Z,69,,
2025-11-18T09:11:00.000Z,,8,19
2025-11-18T09:12:00.000Z,,10,19
2025-11-18T09:13:00.000Z,,9,19
2025-11-18T09:14:00.000Z,,9,19
2025-11-18T09:15:00.000Z,,9,19
2025-11-18T09:16:00.000Z,,14,19
2025-11-18T09:17:00.000Z,,10,19
2025-11-18T09:18:00.000Z,68,,
2025-11-18T09:18:00.000Z,,9,19
2025-11-18T09:19:00.000Z,70,,
2025-11-18T09:19:00.000Z,,10,19
2025-11-18T09:20:00.000Z,,9,20
2025-11-18T09:21:00.000Z,,10,20
2025-11-18T09:22:00.000Z,69,,
2025-11-18T09:22:00.000Z,,8,21
2025-11-18T09:23:00.000Z,,13,21
2025-11-18T09:24:00.000Z,68,,
2025-11-18T09:24:00.000Z,,8,21
2025-11-18T09:25:00.000Z,69,,
2025-11-18T09:25:00.000Z,,9,21
2025-11-18T09:26:00.000Z,70,,
2025-11-18T09:26:00.000Z,,17,21
2025-11-18T09:27:00.000Z,81,,
2025-11-18T09:27:00.000Z,,39,21
2025-11-18T09:28:00.000Z,74,,
2025-11-18T09:28:00.000Z,,19,21
2025-11-18T09:29:00.000Z,81,,
2025-11-18T09:29:00.000Z,,40,21
2025-11-18T09:30:00.000Z,77,,
2025-11-18T09:30:00.000Z,,13,21
2025-11-18T09:31:00.000Z,74,,
2025-11-18T09:31:00.000Z,,16,22
2025-11-18T09:32:00.000Z,75,,
2025-11-18T09:32:00.000Z,,12,22
2025-11-18T09:33:00.000Z,72,,
2025-11-18T09:33:00.000Z,,10,22
2025-11-18T09:34:00.000Z,76,,
2025-11-18T09:34:00.000Z,,24,22
2025-11-18T09:35:00.000Z,75,,
2025-11-18T09:35:00.000Z,,16,22
2025-11-18T09:36:00.000Z,74,,
2025-11-18T09:36:00.000Z,,13,22
2025-11-18T09:37:00.000Z,72,,
2025-11-18T09:37:00.000Z,,10,22
2025-11-18T09:38:00.000Z,71,,
2025-11-18T09:38:00.000Z,,9,23
2025-11-18T09:39:00.000Z,72,,
2025-11-18T09:39:00.000Z,,21,23
2025-11-18T09:40:00.000Z,,12,23
2025-11-18T09:41:00.000Z,,11,23
2025-11-18T09:42:00.000Z,70,,
2025-11-18T09:42:00.000Z,,10,23
2025-11-18T09:43:00.000Z,,10,23
2025-11-18T09:44:00.000Z,,13,23
2025-11-18T09:45:00.000Z,71,,
2025-11-18T09:45:00.000Z,,,
2025-11-18T09:45:00.000Z,,10,23
2025-11-18T09:46:00.000Z,73,,
2025-11-18T09:46:00.000Z,,,
2025-11-18T09:46:00.000Z,,14,24
2025-11-18T09:47:00.000Z,80,,
2025-11-18T09:47:00.000Z,,8,24
2025-11-18T09:48:00.000Z,69,,
2025-11-18T09:48:00.000Z,,6,24
2025-11-18T09:49:00.000Z,65,,
2025-11-18T09:49:00.000Z,,12,24
2025-11-18T09:50:00.000Z,66,,
2025-11-18T09:50:00.000Z,,16,24
2025-11-18T09:51:00.000Z,,16,24
2025-11-18T09:52:00.000Z,65,,
2025-11-18T09:52:00.000Z,,13,25
2025-11-18T09:53:00.000Z,66,,
2025-11-18T09:53:00.000Z,,14,25
2025-11-18T09:54:00.000Z,65,,
2025-11-18T09:54:00.000Z,,13,25
2025-11-18T09:55:00.000Z,,13,25
2025-11-18T09:56:00.000Z,,17,25
2025-11-18T09:57:00.000Z,66,,
2025-11-18T09:57:00.000Z,,17,25
2025-11-18T09:58:00.000Z,,18,26
2025-11-18T09:59:00.000Z,,16,26
2025-11-18T10:00:00.000Z,,,
2025-11-18T10:00:00.000Z,,15,26
2025-11-18T10:01:00.000Z,,18,26
2025-11-18T10:02:00.000Z,67,,
2025-11-18T10:02:00.000Z,,,
2025-11-18T10:02:00.000Z,,11,26
2025-11-18T10:03:00.000Z,65,,
2025-11-18T10:03:00.000Z,,7,27
2025-11-18T10:04:00.000Z,,,
2025-11-18T10:04:00.000Z,,8,27
2025-11-18T10:05:00.000Z,,6,27
2025-11-18T10:06:00.000Z,,10,27
2025-11-18T10:07:00.000Z,,9,28
2025-11-18T10:08:00.000Z,66,,
2025-11-18T10:08:00.000Z,,14,28
2025-11-18T10:09:00.000Z,,15,28
2025-11-18T10:10:00.000Z,65,,
2025-11-18T10:10:00.000Z,,12,28
2025-11-18T10:11:00.000Z,66,,
2025-11-18T10:11:00.000Z,,15,28
2025-11-18T10:12:00.000Z,,13,28
2025-11-18T10:13:00.000Z,65,,
2025-11-18T10:13:00.000Z,,11,29
2025-11-18T10:14:00.000Z,,7,29
2025-11-18T10:15:00.000Z,,5,29
2025-11-18T10:16:00.000Z,,6,30
2025-11-18T10:17:00.000Z,,5,30
2025-11-18T10:18:00.000Z,,6,30
2025-11-18T10:19:00.000Z,,7,30
2025-11-18T10:20:00.000Z,,8,30
2025-11-18T10:21:00.000Z,,10,30
2025-11-18T10:22:00.000Z,,6,31
2025-11-18T10:23:00.000Z,,9,31
2025-11-18T10:24:00.000Z,64,,
2025-11-18T10:24:00.000Z,,4,31
