active_calories,active_time,activity_type,current_activity_type_intensity,cycles,distance,duration_min,heart_rate,moderate_activity_minutes,timestamp,timestamp16
,,,,,,,74,,2025-11-23T12:48:00.000Z,46720
210,9.753037311700727e-39,,70,7.695931166071895e-42,,,,,2025-11-23T12:48:00.000Z,46720
,,,,,,,81,,2025-11-23T12:50:00.000Z,46840
,,,,,,,76,,2025-11-23T12:51:00.000Z,46900
,,,,,,,75,,2025-11-23T12:52:00.000Z,46960
,,,,,,,74,,2025-11-23T12:55:00.000Z,47140
,,,104,,,,,,2025-11-23T12:55:00.000Z,
211,9.921193127419705e-39,,70,7.760390895430837e-42,,,,,2025-11-23T12:57:00.000Z,47260
,,,104,,,,,,2025-11-23T12:58:00.000Z,
,,,8,,,,,,2025-11-23T12:59:00.000Z,
,,,,,,,73,,2025-11-23T13:00:00.000Z,47440
,,,,,,,72,,2025-11-23T13:01:00.000Z,47500
,,,,,,,71,,2025-11-23T13:02:00.000Z,47560
,,,104,,,,,,2025-11-23T13:02:00.000Z,
,,,,,,,70,,2025-11-23T13:03:00.000Z,47620
211,1.0005271035279194e-38,,102,7.789818163181658e-42,,,,,2025-11-23T13:03:00.000Z,47620
,,,,,,,69,,2025-11-23T13:04:00.000Z,47680
,,,,,,,71,,2025-11-23T13:07:00.000Z,47860
,,,,,,,73,,2025-11-23T13:08:00.000Z,47920
,,,,,,,81,,2025-11-23T13:09:00.000Z,47980
,,,,,,,91,,2025-11-23T13:10:00.000Z,48040
,,,136,,,,,,2025-11-23T13:10:00.000Z,
,,,,,,,81,,2025-11-23T13:11:00.000Z,48100
211,1.0173426850998172e-38,,38,7.805232446289231e-42,,,,,2025-11-23T13:12:00.000Z,48160
,,,,,,,79,,2025-11-23T13:13:00.000Z,48220
,,,,,,,77,,2025-11-23T13:14:00.000Z,48280
,,,136,,,,,,2025-11-23T13:15:00.000Z,
,,,,,,,78,,2025-11-23T13:16:00.000Z,48400
,,,,,,,92,,2025-11-23T13:17:00.000Z,48460
,,,,,,,102,,2025-11-23T13:18:00.000Z,48520
,,,,,,,99,,2025-11-23T13:19:00.000Z,48580
,,,,,,,90,,2025-11-23T13:20:00.000Z,48640
,,,,,,,96,,2025-11-23T13:21:00.000Z,48700
,,,,,,,88,,2025-11-23T13:22:00.000Z,48760
,,,,,,,96,,2025-11-23T13:23:00.000Z,48820
,,,,,,,107,,2025-11-23T13:24:00.000Z,48880
226,1.0930128021733573e-38,,70,8.403586890555928e-42,,,,,2025-11-23T13:24:00.000Z,48880
,,,,,,,105,,2025-11-23T13:25:00.000Z,48940
,,,,,,,82,,2025-11-23T13:26:00.000Z,49000
,,,,,,,78,,2025-11-23T13:27:00.000Z,49060
,,,,,,,77,,2025-11-23T13:28:00.000Z,49120
,,,8,,,,,,2025-11-23T13:28:00.000Z,
,,,40,,,,,,2025-11-23T13:29:00.000Z,
,,,,,,,74,,2025-11-23T13:34:00.000Z,49480
,,,,,,,76,,2025-11-23T13:35:00.000Z,49540
,,,8,,,,,,2025-11-23T13:35:00.000Z,
,,,40,,,,,,2025-11-23T13:36:00.000Z,
,,,8,,,,,,2025-11-23T13:38:00.000Z,
,,,,,,,74,,2025-11-23T13:39:00.000Z,49780
,,,40,,,,,,2025-11-23T13:39:00.000Z,
,,,,,,,75,,2025-11-23T13:40:00.000Z,49840
,,,8,,,,,,2025-11-23T13:40:00.000Z,
,,,,,,,73,,2025-11-23T13:41:00.000Z,49900
,,,,,,,75,,2025-11-23T13:42:00.000Z,49960
,,,72,,,,,,2025-11-23T13:42:00.000Z,
,,,,,,,77,,2025-11-23T13:43:00.000Z,50020
,,,,,,,75,,2025-11-23T13:44:00.000Z,50080
,,,8,,,,,,2025-11-23T13:44:00.000Z,
,,,,,,,76,,2025-11-23T13:46:00.000Z,50200
,,,,,,,77,,2025-11-23T13:47:00.000Z,50260
,,,,,,,75,,2025-11-23T13:48:00.000Z,50320
,,,104,,,,,,2025-11-23T13:48:00.000Z,
,,,,,,,76,,2025-11-23T13:49:00.000Z,50380
,,,8,,,,,,2025-11-23T13:49:00.000Z,
,,,,,,,75,,2025-11-23T13:50:00.000Z,50440
,,,,,,,76,,2025-11-23T13:51:00.000Z,50500
,,,,,,,75,,2025-11-23T13:52:00.000Z,50560
,,,104,,,,,,2025-11-23T13:52:00.000Z,
,,,,,,,74,,2025-11-23T13:53:00.000Z,50620
,,,8,,,,,,2025-11-23T13:53:00.000Z,
,,,,,,,75,,2025-11-23T13:54:00.000Z,50680
,,,,,,,74,,2025-11-23T13:55:00.000Z,50740
,,,72,,,,,,2025-11-23T13:55:00.000Z,
,,,,,,,75,,2025-11-23T13:56:00.000Z,50800
,,,8,,,,,,2025-11-23T13:56:00.000Z,
,,,,,,,74,,2025-11-23T13:57:00.000Z,50860
,,,104,,,,,,2025-11-23T13:57:00.000Z,
,,,,,,,75,,2025-11-23T13:58:00.000Z,50920
,,,8,,,,,,2025-11-23T13:58:00.000Z,
,,,,,,,77,,2025-11-23T13:59:00.000Z,50980
,,,72,,,,,,2025-11-23T13:59:00.000Z,
,,,,,,,75,,2025-11-23T14:00:00.000Z,51040
,,,8,,,,,,2025-11-23T14:00:00.000Z,
,,,,,,,74,,2025-11-23T14:01:00.000Z,51100
,,,40,,,,,,2025-11-23T14:01:00.000Z,
,,,,,,,75,,2025-11-23T14:02:00.000Z,51160
,,,8,,,,,,2025-11-23T14:02:00.000Z,
,,,,,,,73,,2025-11-23T14:03:00.000Z,51220
