active_calories,active_time,activity_type,current_activity_type_intensity,cycles,distance,duration_min,heart_rate,timestamp,timestamp16,vigorous_activity_inutes
,,,,,,,90,2025-11-08T19:13:00.000Z,19004,
,,,8,,,,,2025-11-08T19:14:00.000Z,,
,,,40,,,,,2025-11-08T19:15:00.000Z,,
,,,,,,,88,2025-11-08T19:16:00.000Z,19184,
,,,,,,,84,2025-11-08T19:17:00.000Z,19244,
,,,8,,,,,2025-11-08T19:17:00.000Z,,
,,,72,,,,,2025-11-08T19:18:00.000Z,,
,,,,,,,83,2025-11-08T19:19:00.000Z,19364,
,,,8,,,,,2025-11-08T19:19:00.000Z,,
,,,,,,,85,2025-11-08T19:20:00.000Z,19424,
,,,,,,,86,2025-11-08T19:21:00.000Z,19484,
,,,136,,,,,2025-11-08T19:21:00.000Z,,
,,,,,,,83,2025-11-08T19:22:00.000Z,19544,
,,,8,,,,,2025-11-08T19:22:00.000Z,,
,,,,,,,84,2025-11-08T19:23:00.000Z,19604,
,,,,,,,86,2025-11-08T19:24:00.000Z,19664,
,,,,,,,84,2025-11-08T19:25:00.000Z,19724,
,,,136,,,,,2025-11-08T19:25:00.000Z,,
,,,,,,,89,2025-11-08T19:26:00.000Z,19784,
134,5.275888718182936e-39,,6,3.081455323050273e-42,,,,2025-11-08T19:26:00.000Z,19784,
,,,,,,,106,2025-11-08T19:27:00.000Z,19844,
,,,,,,,103,2025-11-08T19:28:00.000Z,19904,
64,1.9968503116628643e-39,,160,0,,,,2025-11-08T19:28:00.000Z,19904,
,,,,,,,92,2025-11-08T19:29:00.000Z,19964,
,,,,,,,98,2025-11-08T19:30:00.000Z,20024,
,,,168,,,,,2025-11-08T19:30:00.000Z,,
,,,,,,,105,2025-11-08T19:31:00.000Z,20084,
67,2.0809282195223534e-39,,128,0,,,,2025-11-08T19:31:00.000Z,20084,
,,,,,,,102,2025-11-08T19:32:00.000Z,20144,
,,,,,,,111,2025-11-08T19:33:00.000Z,20204,
,,,,,,,122,2025-11-08T19:34:00.000Z,20264,
,,,,,,,123,2025-11-08T19:35:00.000Z,20324,
152,5.6122003496208924e-39,,102,3.5957318594574806e-42,,,,2025-11-08T19:35:00.000Z,20324,
70,2.1650061273818424e-39,,192,0,,,,2025-11-08T19:36:00.000Z,20384,
,,,,,,,116,2025-11-08T19:37:00.000Z,20444,
,,,,,,,121,2025-11-08T19:38:00.000Z,20504,
,,,,,,,,2025-11-08T19:38:00.000Z,20504,1
168,5.8644340731993594e-39,,134,3.905418820073265e-42,,,,2025-11-08T19:39:00.000Z,20564,
,,,,,,,113,2025-11-08T19:40:00.000Z,20624,
74,2.2490840352413314e-39,,192,0,,,,2025-11-08T19:40:00.000Z,20624,
,,,,,,,112,2025-11-08T19:41:00.000Z,20684,
171,5.948511981058848e-39,,198,3.9628720571105827e-42,,,,2025-11-08T19:41:00.000Z,20684,
,,,,,,,117,2025-11-08T19:42:00.000Z,20744,
78,2.3331619431008204e-39,,160,0,,,,2025-11-08T19:42:00.000Z,20744,
,,,,,,,118,2025-11-08T19:43:00.000Z,20804,
175,6.032589888918337e-39,,70,3.9951019217900535e-42,,,,2025-11-08T19:43:00.000Z,20804,
,,,,,,,113,2025-11-08T19:44:00.000Z,20864,
81,2.4172398509603094e-39,,192,0,,,,2025-11-08T19:44:00.000Z,20864,
,,,,,,,117,2025-11-08T19:45:00.000Z,20924,
178,6.116667796777827e-39,,102,4.0245291895408746e-42,,,,2025-11-08T19:45:00.000Z,20924,
,,,,,,,114,2025-11-08T19:46:00.000Z,20984,
180,6.200745704637316e-39,,38,4.059561651148995e-42,,,,2025-11-08T19:46:00.000Z,20984,
,,,,,,,107,2025-11-08T19:47:00.000Z,21044,
,,,,,,,108,2025-11-08T19:48:00.000Z,21104,
85,2.5853956666792875e-39,,192,0,,,,2025-11-08T19:48:00.000Z,21104,
,,,,,,,109,2025-11-08T19:49:00.000Z,21164,
,,,,,,,110,2025-11-08T19:50:00.000Z,21224,
,,,,,,,109,2025-11-08T19:51:00.000Z,21284,
,,,,,,,107,2025-11-08T19:52:00.000Z,21344,
,,,,,,,105,2025-11-08T19:53:00.000Z,21404,
,,,,,,,107,2025-11-08T19:54:00.000Z,21464,
192,6.70521315179425e-39,,38,4.2333226607252724e-42,,,,2025-11-08T19:54:00.000Z,21464,
,,,,,,,104,2025-11-08T19:55:00.000Z,21524,
,,,,,,,102,2025-11-08T19:56:00.000Z,21584,
,,,,,,,103,2025-11-08T19:57:00.000Z,21644,
90,2.8376293902577546e-39,,160,0,,,,2025-11-08T19:57:00.000Z,21644,
,,,,,,,102,2025-11-08T19:58:00.000Z,21704,
,,,,,,,110,2025-11-08T19:59:00.000Z,21764,
,,,,,,,115,2025-11-08T20:00:00.000Z,21824,
