body_battery,field_four,field_two,stress_level_time,stress_level_value
30,1,237,2025-11-13T04:05:00.000Z,39
30,1,223,2025-11-13T04:06:00.000Z,50
30,1,230,2025-11-13T04:07:00.000Z,45
30,1,241,2025-11-13T04:08:00.000Z,36
30,1,242,2025-11-13T04:09:00.000Z,36
30,1,238,2025-11-13T04:10:00.000Z,39
30,1,250,2025-11-13T04:11:00.000Z,30
30,1,247,2025-11-13T04:12:00.000Z,32
30,1,240,2025-11-13T04:13:00.000Z,37
30,1,231,2025-11-13T04:14:00.000Z,44
30,1,233,2025-11-13T04:15:00.000Z,42
30,1,247,2025-11-13T04:16:00.000Z,32
30,1,246,2025-11-13T04:17:00.000Z,33
30,1,245,2025-11-13T04:18:00.000Z,33
30,1,241,2025-11-13T04:19:00.000Z,36
30,1,223,2025-11-13T04:20:00.000Z,50
30,1,238,2025-11-13T04:21:00.000Z,39
30,1,243,2025-11-13T04:22:00.000Z,35
30,1,234,2025-11-13T04:23:00.000Z,42
30,1,237,2025-11-13T04:24:00.000Z,39
30,1,237,2025-11-13T04:25:00.000Z,39
30,1,244,2025-11-13T04:26:00.000Z,34
30,1,222,2025-11-13T04:27:00.000Z,51
30,1,229,2025-11-13T04:28:00.000Z,45
30,1,239,2025-11-13T04:29:00.000Z,38
30,1,228,2025-11-13T04:30:00.000Z,46
30,1,238,2025-11-13T04:31:00.000Z,39
30,1,240,2025-11-13T04:32:00.000Z,37
29,1,246,2025-11-13T04:33:00.000Z,33
29,1,234,2025-11-13T04:34:00.000Z,42
29,1,244,2025-11-13T04:35:00.000Z,34
29,1,253,2025-11-13T04:36:00.000Z,27
29,1,234,2025-11-13T04:37:00.000Z,42
29,1,242,2025-11-13T04:38:00.000Z,36
29,1,231,2025-11-13T04:39:00.000Z,44
29,1,235,2025-11-13T04:40:00.000Z,41
29,1,236,2025-11-13T04:41:00.000Z,40
29,1,237,2025-11-13T04:42:00.000Z,39
29,1,246,2025-11-13T04:43:00.000Z,33
29,1,243,2025-11-13T04:44:00.000Z,35
28,1,239,2025-11-13T04:45:00.000Z,38
28,1,239,2025-11-13T04:46:00.000Z,38
28,1,235,2025-11-13T04:47:00.000Z,41
28,1,254,2025-11-13T04:48:00.000Z,27
28,1,239,2025-11-13T04:49:00.000Z,38
28,1,242,2025-11-13T04:50:00.000Z,36
28,1,242,2025-11-13T04:51:00.000Z,36
28,1,232,2025-11-13T04:52:00.000Z,43
28,1,3,2025-11-13T04:53:00.000Z,24
28,1,10,2025-11-13T04:54:00.000Z,22
28,1,252,2025-11-13T04:55:00.000Z,28
28,1,238,2025-11-13T04:56:00.000Z,39
28,1,242,2025-11-13T04:57:00.000Z,36
28,1,240,2025-11-13T04:58:00.000Z,37
28,1,244,2025-11-13T04:59:00.000Z,34
28,1,255,2025-11-13T05:00:00.000Z,26
